product_id,date,units_sold,price,competitor_price,inventory
512003783,1/21/2016,302.91,55.27,55.27,374
512003783,2/16/2016,156.35,55.27,55.27,374
512003783,2/28/2016,669.33,55.27,55.27,374
512003783,2/29/2016,376.2,55.27,55.27,213
512003783,3/4/2016,205.2,55.27,55.27,374
512003783,3/10/2016,205.2,55.27,55.27,352
512003783,3/12/2016,156.35,55.27,55.27,352
512003783,3/21/2016,156.35,55.27,55.27,367
512003783,3/29/2016,180.78,55.27,55.27,374
512003783,4/8/2016,156.35,55.27,55.27,308
512003783,4/29/2016,180.78,55.27,55.27,176
512003783,5/23/2016,156.35,55.27,55.27,374
512003783,5/26/2016,156.35,55.27,55.27,374
512003783,6/9/2016,156.35,55.27,55.27,205
512003783,6/17/2016,180.78,55.27,55.27,132
512003783,7/15/2016,400.63,55.27,50.23,249
512003783,7/16/2016,180.78,55.27,50.23,249
512003783,7/19/2016,376.2,55.27,50.23,110
512003783,8/14/2016,156.35,55.27,55.27,374
512003783,11/3/2016,260.63,49.12,49.12,374
512003783,2/4/2017,131.92,51.82,51.81,161
512003783,3/19/2017,155.46,57.82,57.81,102
512003783,3/30/2017,181.59,57.82,57.81,66
512003783,4/25/2017,157.58,57.82,57.81,367
512003783,5/21/2017,157.58,57.82,57.81,367
512014573,1/26/2016,170.07,83.65,83.64,110
512014573,2/20/2016,170.07,83.65,83.64,110
512014573,3/28/2016,170.07,83.65,131.85,102
512014573,4/9/2016,284.54,83.65,131.85,102
512014573,4/16/2016,170.07,83.65,131.85,88
512014573,8/16/2016,170.07,83.65,83.64,80
512014573,8/17/2016,170.07,83.65,83.64,73
512014573,8/18/2016,208.23,83.65,83.64,58
512014573,9/5/2016,170.07,83.65,83.64,66
512014573,9/7/2016,322.69,83.65,83.64,58
512014573,11/10/2016,170.07,83.65,83.64,44
512014573,11/13/2016,208.23,83.65,83.64,36
512014573,12/6/2016,170.07,83.65,83.64,44
512014573,12/10/2016,170.07,83.65,128.29,29
512014573,2/4/2017,161.93,66.82,65.8,29
512014573,3/3/2017,161.93,66.82,65.8,154
512014573,3/31/2017,159.74,68.7,65.8,154
512014573,4/23/2017,214.85,66.82,65.8,132
512014573,4/25/2017,184.56,66.82,65.8,102
512014573,4/29/2017,161.93,66.82,65.8,117
512014573,5/9/2017,161.93,66.82,65.8,124
512014573,5/10/2017,184.56,66.82,65.8,102
512014573,5/26/2017,161.93,66.82,66.05,110
512014573,6/1/2017,251.97,66.82,65.8,66
512014573,6/2/2017,237.23,66.82,65.8,22
512014573,6/11/2017,161.93,66.82,65.8,58
512014573,6/25/2017,191.94,66.82,65.8,44
512014573,7/10/2017,125.28,66.82,65.8,51
512014573,7/17/2017,191.94,66.82,65.8,29
512014573,9/1/2017,158.98,60.72,60.71,29
512317690,2/20/2016,140.26,22.02,22.52,205
512317690,3/7/2016,140.26,22.02,22.52,205
512317690,4/18/2016,169.26,17.65,22.52,198
512317690,5/18/2016,163.04,17.65,17.64,176
512317690,5/23/2016,144.37,17.65,17.64,124
512317690,6/7/2016,181.71,17.65,17.64,154
512317690,6/12/2016,156.82,17.65,17.64,44
512317690,6/27/2016,138.14,17.65,17.64,88
512317690,6/28/2016,138.14,17.65,17.64,73
512317690,7/1/2016,144.37,17.65,17.64,66
512317690,7/10/2016,138.14,17.65,17.64,73
512317690,8/16/2016,144.37,17.65,17.64,88
512317690,8/22/2016,138.14,17.65,17.64,66
512317695,4/14/2016,154.5,28.12,45.4,337
512317695,5/2/2016,244.83,28.12,45.4,264
512317695,5/29/2016,154.5,28.12,28.12,51
512317695,6/2/2016,188.38,28.12,28.12,29
512317695,7/6/2016,177.09,28.12,28.12,367
512317695,7/23/2016,,28.12,28.12,352
512317695,11/3/2016,165.79,28.12,45.4,117
512317695,12/19/2016,142.1,25.83,25.83,102
512317695,3/14/2017,196.72,27.1,45.4,29
512317695,3/23/2017,143.78,29.29,45.4,36
512317695,5/8/2017,140.09,29.29,45.4,124
512317695,5/24/2017,144.39,30.56,30.56,73
512317695,6/1/2017,156.86,30.56,30.56,58
512317697,2/17/2016,157.8,18.15,17.95,374
512317697,3/25/2016,157.8,18.15,17.95,374
512317697,6/9/2016,151.33,18.15,17.95,315
512317697,8/22/2016,138.39,18.15,17.89,301
512317697,11/15/2016,176.52,17.95,17.34,0
512317697,5/12/2017,165.43,16.32,16.32,330
512317697,5/17/2017,171.01,16.32,17.95,279
512317697,8/7/2017,157.41,17.95,17.95,345
512317702,4/29/2016,183.97,31.68,58.02,124
512317702,6/21/2016,196.99,31.68,58.02,66
512317718,7/29/2016,513.22,44.19,44.18,374
512317718,9/26/2016,150.99,44.19,44.18,80
512317718,10/16/2016,265.38,44.19,44.18,73
512317718,11/17/2016,151.58,45.41,45.4,367
512317718,12/13/2016,269.51,45.41,45.4,374
512317718,4/8/2017,171.23,45.41,45.4,359
512317718,7/12/2017,151.58,45.41,45.4,132
512317722,4/13/2016,156.18,29.85,85.12,213
512317722,6/5/2016,156.18,29.85,88.73,205
512317722,9/19/2016,514.2,31.12,52.62,264
512317722,12/7/2016,259.35,31.12,31.12,132
512317722,2/23/2017,259.35,31.12,98.7,301
512317722,3/27/2017,295.58,31.12,98.7,271
512317722,4/10/2017,754.32,31.12,94.02,0
512317722,7/4/2017,157.41,31.12,105.25,88
512317722,7/5/2017,272.09,31.12,105.25,0
512317726,1/20/2016,144.59,30.97,30.96,198
512317726,1/26/2016,182.6,30.97,30.96,161
512317726,1/30/2016,169.93,30.97,30.96,183
512317726,2/12/2016,157.26,30.97,30.96,168
512317726,7/19/2016,182.6,30.97,30.96,374
512317726,11/29/2016,157.26,30.97,30.96,161
512317726,1/25/2017,144.59,30.97,30.96,80
512317726,3/22/2017,157.26,30.97,24.15,337
512317726,6/29/2017,144.59,30.97,30.96,264
512317726,7/4/2017,144.59,30.97,30.96,176
512317726,7/14/2017,144.59,30.97,30.96,132
512317733,3/25/2016,,33.71,60.91,374
512317733,4/2/2016,145.92,33.71,33.71,374
512317733,4/9/2016,187.91,33.71,59.13,367
512317733,4/13/2016,243.9,33.71,59.13,345
512317733,4/15/2016,201.91,33.71,59.13,293
512317733,4/26/2016,803.8,33.71,59.13,374
512317733,5/18/2016,271.89,33.71,33.71,374
512317733,5/25/2016,257.9,33.71,33.71,374
512317733,6/8/2016,271.89,33.71,33.71,374
512317733,7/22/2016,173.91,33.71,33.71,374
512317733,8/6/2016,187.91,33.71,33.71,374
512317733,8/14/2016,159.91,33.71,33.71,374
512317733,8/16/2016,271.89,33.71,33.71,359
512317733,8/20/2016,145.92,33.71,33.71,301
512317733,8/23/2016,411.87,33.71,33.71,367
512317733,8/26/2016,271.89,33.71,33.71,220
512317733,8/29/2016,201.91,33.71,33.71,154
512317733,9/15/2016,467.86,33.71,33.71,323
512317733,9/29/2016,355.88,33.71,33.71,124
512317733,10/23/2016,271.89,33.71,62.9,44
512317733,10/29/2016,187.91,33.71,63.56,301
512317733,11/2/2016,145.92,33.71,33.71,271
512317733,12/5/2016,243.9,33.71,33.71,374
512317733,1/5/2017,145.92,33.71,33.71,374
512317733,1/22/2017,159.91,33.71,33.71,374
512317733,2/22/2017,145.18,33.71,33.71,359
512317733,4/4/2017,279.03,35.19,59.13,301
512317733,4/11/2017,249.61,35.19,35.18,315
512317733,4/22/2017,146.63,35.19,35.18,367
512317733,5/6/2017,146.63,35.19,35.18,367
512317735,7/25/2016,163.06,36.97,35.79,374
512317739,2/26/2016,164.32,27.1,29.13,374
512317739,4/21/2016,143.26,28.22,28.22,374
512317739,4/25/2016,143.26,28.22,28.22,367
512317739,8/6/2016,154.6,28.22,28.22,374
512317739,8/27/2016,154.6,28.22,28.22,374
512317739,8/28/2016,199.96,28.22,28.22,359
512317739,9/16/2016,222.64,28.22,28.22,374
512317739,11/16/2016,154.31,27.92,27.91,146
512317739,12/1/2016,179.05,29.14,29.13,293
512317739,12/31/2016,179.05,29.14,29.13,374
512317739,1/27/2017,155.49,29.14,29.13,359
512317739,3/29/2017,235.02,29.14,29.13,301
512317739,4/1/2017,202.62,29.14,29.13,257
512317739,4/7/2017,249.75,29.14,29.13,301
512317739,4/13/2017,,29.14,29.13,323
512317739,5/9/2017,143.7,29.14,29.13,0
512317739,5/28/2017,307.29,29.14,29.13,242
512317739,6/10/2017,155.49,29.14,29.13,264
512317739,6/17/2017,155.49,29.14,29.13,257
512317739,7/23/2017,155.49,29.14,29.13,183
512317739,7/26/2017,167.27,29.14,29.13,176
512317739,7/29/2017,138.81,29.14,29.13,154
512317739,8/12/2017,226.19,29.14,29.13,117
512317739,8/15/2017,179.05,29.14,29.13,58
512317739,8/25/2017,179.05,29.14,29.13,102
512317739,10/19/2017,352.85,29.14,29.13,227
512317739,10/29/2017,143.7,29.14,29.13,367
512317739,11/23/2017,155.49,29.14,29.13,359
512317744,2/2/2016,152.53,26.09,26.08,146
512317744,3/14/2016,152.19,25.73,25.73,58
512317753,2/22/2016,186.93,33.21,33.2,374
512317753,4/7/2016,406.95,33.21,33.2,337
512317753,4/8/2016,145.67,33.21,33.2,95
512317753,8/5/2016,145.67,33.21,33.2,51
512317753,8/7/2016,173.17,33.21,33.2,36
512317753,9/5/2016,145.67,33.21,39.3,374
512317753,9/11/2016,160.8,34.63,39.3,374
512317753,9/22/2016,283.7,36.15,39.3,374
512317753,10/23/2016,147.1,36.15,36.15,271
512317753,2/2/2017,147.86,37.73,39.3,117
512317753,3/9/2017,165.33,39.31,39.3,58
512317753,3/11/2017,148.62,39.31,39.3,51
512317753,4/30/2017,317.63,39.31,37.57,51
512317753,7/18/2017,165.33,39.31,39.3,0
512317753,11/20/2017,300.92,39.31,39.3,293
512319120,11/3/2016,159.79,62.39,62.39,242
512319120,9/20/2017,143.33,43.58,28.01,29
512319122,2/9/2016,170.27,84.06,84.05,66
512319122,2/25/2016,208.62,84.06,84.05,183
512319122,3/27/2016,170.27,84.06,84.05,242
512319122,8/5/2016,252.73,88.02,88.02,124
512319122,9/27/2016,252.73,88.02,88.02,58
512319122,10/29/2016,172.19,88.02,139.99,73
512319122,1/6/2017,212.46,88.02,113.44,359
512319122,1/14/2017,174.21,92.19,113.44,352
512319122,3/13/2017,176.32,96.56,96.56,161
512319122,3/29/2017,309.53,96.56,96.56,132
512319122,4/12/2017,176.32,96.56,96.56,117
512319122,4/24/2017,301.56,96.56,96.56,51
512319126,2/9/2016,192.76,130.53,133.17,132
512319126,3/19/2016,192.76,130.53,130.53,66
512319126,3/26/2016,192.76,130.53,130.53,66
512319126,6/17/2016,192.76,130.53,130.53,117
512319126,7/20/2016,314.43,130.53,130.53,88
512319126,8/5/2016,192.76,130.53,130.53,58
512319126,8/26/2016,166.53,76.33,131.59,337
512319126,9/7/2016,166.53,76.33,76.32,337
512319126,9/14/2016,166.53,76.33,76.32,330
512319126,9/19/2016,235.76,76.33,69.35,323
512319126,9/27/2016,235.76,76.33,76.32,293
512319126,10/17/2016,178.83,101.75,91.47,168
512319126,10/22/2016,169.95,83.39,83.44,58
512319126,10/26/2016,169.95,83.39,83.44,51
512319126,10/27/2016,169.95,83.39,83.44,51
512319126,10/29/2016,169.95,83.39,83.44,36
512319126,1/5/2017,192.53,67.43,67.42,374
512319126,1/6/2017,374.38,67.43,67.42,359
512319126,1/14/2017,162.23,67.43,67.42,301
512319126,1/25/2017,222.84,67.43,67.42,242
512319126,1/29/2017,162.23,67.43,67.42,235
512319126,2/4/2017,162.23,67.43,67.42,249
512319126,2/8/2017,253.15,67.43,67.42,227
512319126,2/19/2017,162.23,67.43,67.42,124
512319126,3/3/2017,374.38,67.43,67.42,0
512319126,3/10/2017,217.04,67.43,67.42,73
512319126,3/13/2017,219.15,67.43,67.42,36
512319126,3/22/2017,162.23,67.43,67.42,66
512319126,3/27/2017,245.18,67.43,67.42,22
512319126,3/29/2017,222.84,67.43,67.42,0
512319126,4/2/2017,162.23,67.43,67.42,14
512319126,4/6/2017,162.23,67.43,67.42,36
512319126,4/10/2017,192.53,67.43,67.42,22
512319126,4/23/2017,162.23,67.43,67.42,117
512319126,4/24/2017,245.15,67.43,67.42,88
512319126,4/27/2017,131.92,67.43,67.42,44
512319126,4/28/2017,,67.43,67.42,66
512319126,5/5/2017,192.53,67.43,67.42,88
512319126,6/2/2017,162.23,67.43,67.42,95
512319126,6/14/2017,162.23,67.43,67.42,88
512319126,6/15/2017,434.99,67.43,67.42,0
512319126,6/21/2017,162.23,67.43,67.42,29
512319126,6/27/2017,162.23,67.43,67.42,29
512319126,6/28/2017,162.23,67.43,67.42,0
512319126,10/21/2017,171.97,87.36,131.85,139
512319126,11/22/2017,163.75,70.58,87.36,95
512319128,4/5/2016,390.81,93.97,93.97,176
512319128,5/9/2016,390.81,93.97,93.97,154
512319128,8/12/2016,218.22,93.97,93.97,58
512319128,8/17/2016,313.17,98.45,136.99,36
512319128,8/26/2016,322.32,103.17,128.54,183
512319128,10/26/2016,281.88,108.11,108.1,124
512319128,11/7/2016,574.72,106.48,103.47,117
512319128,12/6/2016,165.06,73.27,73.27,66
512319128,12/8/2016,297.6,73.27,99.71,58
512319128,2/8/2017,184.42,113.29,135.71,146
512319128,2/14/2017,184.42,113.29,113.29,139
512319128,2/26/2017,182.99,113.29,113.29,139
512319128,5/18/2017,158.86,60.46,60.46,124
512319128,6/24/2017,158.02,62.14,87.56,102
512319128,7/18/2017,171.97,87.56,87.56,95
512319128,7/21/2017,171.97,87.56,87.56,88
512319128,10/24/2017,352.43,118.73,118.73,0
512319128,11/26/2017,187.12,122.7,122.7,257
512319129,4/5/2016,335.31,74.85,74.85,264
512319129,5/9/2016,335.31,74.85,74.85,242
512319129,8/17/2016,318.76,82.02,128.85,146
512319129,8/19/2016,206.65,82.02,128.85,80
512319129,8/26/2016,210.39,85.89,128.85,95
512319129,10/26/2016,249.63,85.89,85.88,88
512319129,11/7/2016,485.05,85.89,85.88,73
512319129,12/6/2016,248.82,65.19,65.18,36
512319129,2/8/2017,168.03,79.43,79.42,205
512319129,2/26/2017,166.61,79.43,75.66,198
512319129,5/18/2017,171.03,85.63,102.41,191
512319129,5/30/2017,173.13,89.95,111.05,183
512319129,6/24/2017,173.59,94.23,94.22,161
512319129,7/5/2017,175.19,94.23,94.22,161
512319129,7/21/2017,177.36,98.7,98.7,154
512319129,10/23/2017,177.36,98.7,98.7,29
512319129,10/24/2017,313.66,98.7,98.7,0
512319130,2/18/2016,690.17,109.68,106.63,257
512319130,4/12/2016,236.47,112.84,112.83,198
512319130,6/7/2016,197.8,74.34,64.42,168
512319130,6/11/2016,527.19,72.87,64.42,146
512319130,6/17/2016,263.68,72.87,45,117
512319130,2/28/2017,179.69,113.7,113.7,264
512319130,7/29/2017,317.92,108.51,108.51,66
512319130,8/26/2017,178.41,108.51,108.51,161
512319130,8/27/2017,424.07,108.51,107.59,117
512319130,10/9/2017,219.91,99.51,93.61,124
512319130,10/30/2017,170.39,99.51,99.51,88
512319130,11/5/2017,174.36,92.5,90.1,80
512319131,2/18/2016,470.91,74.85,74.85,301
512319131,4/12/2016,267.52,74.85,74.85,249
512319131,6/11/2016,538.71,74.85,74.85,227
512319131,6/17/2016,267.52,74.85,74.85,176
512319131,7/12/2016,165.82,74.85,74.85,132
512319131,7/31/2016,165.82,74.85,74.85,44
512319131,8/18/2016,165.82,74.85,74.85,102
512319131,2/28/2017,193.3,78.36,78.36,337
512319131,3/29/2017,167.52,78.36,78.36,337
512319131,5/3/2017,155.63,53.8,37.52,227
512319131,6/29/2017,166.8,76.89,76.88,227
512319131,7/26/2017,166.19,75.61,75.61,205
512319131,7/27/2017,166.19,75.61,75.61,168
512319131,8/18/2017,200.46,75.61,75.61,154
512319131,8/26/2017,162.5,75.61,75.61,161
512319131,8/27/2017,328.67,75.61,75.61,117
512319131,10/8/2017,165.15,73.48,73.47,124
512319131,10/9/2017,165.15,73.48,73.47,117
512319131,10/13/2017,342.15,71.39,71.39,73
512319131,11/21/2017,,71.39,122.7,0
512319135,1/28/2016,359.74,57.1,55.57,293
512319135,7/8/2016,157.23,57.1,80.95,330
512319135,7/18/2016,157.23,57.1,57.1,337
512319135,8/1/2016,157.23,57.1,57.1,257
512319135,8/8/2016,511.62,57.1,57.1,257
512319135,8/28/2016,157.23,57.1,57.1,235
512319135,9/29/2016,157.23,57.1,57.1,191
512319135,10/20/2016,157.23,57.1,57.1,161
512319135,10/30/2016,245.82,57.1,57.1,110
512319135,12/11/2016,189.78,44.65,44.64,95
512319135,12/17/2016,151.21,44.65,44.64,80
512319135,12/20/2016,148.3,44.65,44.64,73
512319135,12/21/2016,228.35,44.65,43.52,66
512319135,12/29/2016,147.54,37.07,43.47,22
512319135,1/1/2017,150.64,43.48,41.39,44
512319141,7/7/2016,206.8,159.57,46.98,205
512319141,7/8/2016,206.8,159.57,46.98,191
512319143,2/15/2016,316.35,131.85,131.85,301
512319143,2/28/2016,193.4,131.85,131.85,264
512319143,3/9/2016,325.57,138.21,131.85,242
512319143,3/19/2016,325.57,138.21,138.21,183
512319143,3/22/2016,325.57,138.21,138.21,176
512319143,3/31/2016,196.47,138.21,138.21,168
512319143,4/7/2016,261.02,138.21,138.21,146
512319143,4/13/2016,390.12,138.21,138.21,95
512319143,4/14/2016,325.57,138.21,138.21,80
512319143,4/19/2016,261.02,138.21,138.21,36
512319143,5/6/2016,196.47,138.21,138.21,36
512319143,5/7/2016,261.02,138.21,138.21,29
512319143,5/10/2016,196.47,138.21,138.21,191
512319143,6/4/2016,196.47,138.21,138.21,88
512319143,6/10/2016,325.57,138.21,138.21,51
512319143,6/28/2016,325.57,138.21,208.89,0
512319143,7/2/2016,199.72,144.92,208.33,117
512319143,7/11/2016,546.97,147.77,147.77,88
512319143,7/25/2016,199.03,143.5,211.43,36
512319143,8/1/2016,567.78,154.94,211.73,88
512319143,8/2/2016,204.56,154.94,211.73,88
512319143,8/15/2016,203.24,152.19,222.57,66
512319143,8/19/2016,262.64,139.89,139.88,124
512319143,8/20/2016,197.28,139.89,139.88,110
512319143,8/26/2016,197.28,139.89,139.88,102
512319143,9/1/2016,458.73,139.89,139.88,95
512319143,9/20/2016,197.28,139.89,139.88,205
512319143,9/25/2016,197.28,139.89,139.88,257
512319143,9/27/2016,197.28,139.89,139.88,249
512319143,9/28/2016,197.28,139.89,139.88,242
512319143,10/2/2016,197.28,139.89,139.88,235
512319143,10/3/2016,197.28,139.89,139.88,227
512319143,10/7/2016,197.28,139.89,139.88,213
512319143,10/17/2016,197.28,139.89,139.88,205
512319143,10/18/2016,197.28,139.89,139.88,198
512319143,10/22/2016,197.28,139.89,211.68,191
512319143,10/23/2016,458.73,139.89,139.88,191
512319143,10/24/2016,197.28,139.89,139.88,146
512319143,11/7/2016,262.64,139.89,139.88,198
512319143,11/14/2016,328.01,139.89,139.88,183
512319143,11/19/2016,262.64,139.89,139.88,161
512319143,11/22/2016,393.37,139.89,139.88,132
512319143,11/29/2016,393.37,139.89,139.88,117
512319143,12/5/2016,197.28,139.89,139.88,146
512319143,12/9/2016,393.37,139.89,139.88,139
512319143,1/16/2017,197.28,139.89,139.88,220
512319143,1/20/2017,654.82,139.89,139.88,213
512319143,1/21/2017,197.28,139.89,139.88,154
512319143,1/22/2017,262.64,139.89,139.88,154
512319143,1/23/2017,197.28,139.89,139.88,154
512319143,1/27/2017,328.01,139.89,139.88,110
512319143,2/3/2017,197.28,139.89,139.88,161
512319143,2/19/2017,257.53,139.89,139.88,176
512319143,2/22/2017,449.53,139.89,139.88,168
512319143,2/25/2017,589.46,139.89,139.88,117
512319143,3/1/2017,190.22,140.55,139.88,139
512319143,3/5/2017,197.6,140.55,139.88,132
512319143,3/6/2017,193.94,140.55,139.88,124
512319143,3/19/2017,255.9,140.55,181.28,257
512319143,3/28/2017,197.13,154.79,181.28,359
512319143,3/31/2017,197.11,154.79,181.28,352
512319143,4/7/2017,428.45,162.47,162.46,323
512319143,4/17/2017,197.28,156.62,162.46,315
512319143,4/18/2017,196.79,139.89,162.46,308
512319143,4/20/2017,841.83,154.13,162.46,235
512319143,4/22/2017,269.07,154.13,154.12,220
512319143,4/23/2017,406.19,154.13,154.12,191
512319143,4/24/2017,201.71,154.13,154.12,168
512319143,4/26/2017,181.83,154.13,154.12,176
512319143,5/6/2017,550.61,152.19,152.19,308
512319143,5/7/2017,259.82,152.19,152.19,293
512319143,5/8/2017,195.86,152.19,152.19,286
512319143,5/11/2017,757.47,152.19,152.19,220
512319143,5/13/2017,195.86,152.19,152.19,213
512319143,5/15/2017,748.45,152.19,152.19,176
512319143,5/16/2017,274.55,152.19,152.19,161
512319143,5/18/2017,195.88,152.19,152.19,183
512319143,5/22/2017,188.5,152.19,152.19,176
512319143,5/24/2017,198.32,152.19,152.19,227
512319143,5/26/2017,195.86,152.19,152.19,220
512319143,5/28/2017,203.24,152.19,152.19,359
512319143,6/1/2017,331.13,152.19,152.19,337
512319143,6/2/2017,203.24,152.19,152.19,330
512319143,6/3/2017,203.24,152.19,152.19,323
512319143,6/4/2017,195.88,152.19,152.19,315
512319143,6/8/2017,259.82,152.19,152.19,418
512319143,6/26/2017,195.88,152.19,152.19,440
512319143,7/3/2017,195.86,152.19,152.19,433
512319143,7/8/2017,267.2,152.19,152.19,418
512319143,7/17/2017,195.86,152.19,152.19,411
512319143,7/19/2017,195.86,152.19,152.19,433
512319143,7/23/2017,259.82,152.19,152.19,418
